Mã Chuyến,Hãng,Sân bay đi,Sân bay đến,Giờ đi,Giờ đến,Tổng ghế,Trạng thái,Tàu bay
JJSGNDAD001,JetJet Air,SGN,DAD,2022-06-16 11:07:55,2022-06-16 12:37:55,180,Scheduled,A320
JJ370,JetJet Air,JFK,NRT,2026-06-13 08:13,2026-06-13 19:10,180,Scheduled,Airbus A321 Neo
JJ651,Global Connect,BKK,NRT,2026-06-13 08:13,2026-06-13 15:43,180,Scheduled,Boeing 737 MAX
JJ792,JetJet Air,JFK,HAN,2026-06-13 09:13,2026-06-13 15:24,180,Scheduled,Boeing 737 MAX
JJ270,Pacific Way,NRT,HAN,2026-06-13 11:13,2026-06-13 21:56,180,In Air,Boeing 737 MAX
JJ709,JetJet Air,NRT,DAD,2026-06-13 11:13,2026-06-13 21:23,180,Scheduled,Boeing 787-9
JJ872,JetJet Air,SYD,NRT,2026-06-13 11:13,2026-06-13 18:41,180,Scheduled,Boeing 787-9
JJ231,Pacific Way,LHR,HAN,2026-06-13 13:13,2026-06-13 23:00,180,In Air,Boeing 787-9
JJ323,Pacific Way,DAD,PQC,2026-06-13 16:13,2026-06-14 01:47,180,Delayed,Airbus A350-1000
JJ165,Pacific Way,SGN,DAD,2026-06-13 17:13,2026-06-13 21:26,180,In Air,Boeing 737 MAX
JJ287,Sky High,HAN,PQC,2026-06-13 20:13,2026-06-14 00:57,180,Boarding,Boeing 737 MAX
JJ723,Global Connect,SIN,BKK,2026-06-13 21:13,2026-06-14 03:16,180,Delayed,Boeing 787-9
JJ865,Sky High,CXR,SIN,2026-06-13 21:13,2026-06-13 23:42,180,Boarding,Airbus A321 Neo
JJ600,Sky High,PQC,JFK,2026-06-13 21:13,2026-06-14 04:34,180,Scheduled,Airbus A321 Neo
JJ489,Sky High,SGN,SYD,2026-06-13 22:13,2026-06-14 04:39,180,Completed,Boeing 737 MAX
JJ412,Global Connect,SGN,NRT,2026-06-13 22:13,2026-06-14 03:07,180,In Air,Boeing 787-9
JJ840,Pacific Way,HAN,LHR,2026-06-13 23:13,2026-06-14 05:28,180,Delayed,Boeing 787-9
JJ524,Global Connect,SGN,HAN,2026-06-13 23:13,2026-06-14 08:49,180,Delayed,Boeing 737 MAX
JJ915,JetJet Air,LHR,SYD,2026-06-13 23:13,2026-06-14 02:27,180,Delayed,Airbus A350-1000
JJ129,Pacific Way,PQC,NRT,2026-06-13 23:13,2026-06-14 08:38,180,Boarding,Airbus A350-1000
JJ846,Sky High,DAD,JFK,2026-06-14 00:13,2026-06-14 02:22,180,Scheduled,Boeing 737 MAX
JJ472,Pacific Way,LHR,CXR,2026-06-14 00:13,2026-06-14 02:28,180,Delayed,Airbus A321 Neo
JJ195,Global Connect,JFK,HAN,2026-06-14 02:13,2026-06-14 12:30,180,Delayed,Airbus A350-1000
JJ863,Sky High,SYD,CXR,2026-06-14 03:13,2026-06-14 14:38,180,Scheduled,Airbus A350-1000
JJ194,Pacific Way,DAD,ICN,2026-06-14 05:13,2026-06-14 11:27,180,Scheduled,Airbus A321 Neo
JJ859,Pacific Way,SGN,HAN,2026-06-14 05:13,2026-06-14 08:56,180,Delayed,Boeing 737 MAX
JJ254,Global Connect,CXR,SIN,2026-06-14 05:13,2026-06-14 12:10,180,Gate Closed,Boeing 737 MAX
JJ669,JetJet Air,SIN,PQC,2026-06-14 05:13,2026-06-14 11:29,180,Gate Closed,Boeing 787-9
JJ902,Pacific Way,SGN,CXR,2026-06-14 08:13,2026-06-14 09:45,180,Completed,Airbus A350-1000
JJ960,Pacific Way,ICN,SGN,2026-06-14 08:13,2026-06-14 15:27,180,Delayed,Boeing 787-9
JJ682,Sky High,DAD,PQC,2026-06-14 10:13,2026-06-14 18:11,180,Delayed,Boeing 737 MAX
JJ311,Pacific Way,HAN,ICN,2026-06-14 10:13,2026-06-14 17:21,180,Boarding,Boeing 737 MAX
JJ552,Pacific Way,PQC,CXR,2026-06-14 11:13,2026-06-14 22:36,180,Delayed,Boeing 787-9
JJ741,Global Connect,SYD,ICN,2026-06-14 12:13,2026-06-14 18:08,180,In Air,Airbus A350-1000
JJ870,Pacific Way,SIN,CXR,2026-06-14 13:13,2026-06-14 20:17,180,Scheduled,Airbus A350-1000
JJ765,Pacific Way,CXR,PQC,2026-06-14 16:13,2026-06-15 03:59,180,Scheduled,Boeing 787-9
JJ470,Global Connect,SYD,NRT,2026-06-14 18:13,2026-06-15 00:12,180,Delayed,Boeing 787-9
JJ540,Global Connect,HAN,CXR,2026-06-14 18:13,2026-06-14 20:19,180,In Air,Airbus A321 Neo
JJ172,JetJet Air,SIN,SGN,2026-06-14 21:13,2026-06-15 08:10,180,Scheduled,Boeing 787-9
JJSGNHAN001,JetJet Air,SGN,HAN,2026-06-14 22:05:29,2026-06-15 00:10:29,180,scheduled,A320
JJ367,Global Connect,CXR,JFK,2026-06-14 22:13,2026-06-15 00:23,180,Delayed,Airbus A350-1000
JJ569,JetJet Air,DAD,SYD,2026-06-15 01:13,2026-06-15 07:50,180,Boarding,Airbus A321 Neo
JJHANLHR055,Pacific Way,HAN,LHR,2026-06-15 01:13,2026-06-15 08:32,180,Scheduled,Airbus A350-1000
JJ984,JetJet Air,HAN,DAD,2026-06-15 02:13,2026-06-15 11:04,180,Scheduled,Airbus A321 Neo
JJ987,Pacific Way,LHR,JFK,2026-06-15 02:13,2026-06-15 04:10,180,Scheduled,Boeing 787-9
JJ735,Global Connect,SIN,CXR,2026-06-15 03:13,2026-06-15 08:58,180,Delayed,Boeing 787-9
JJ334,JetJet Air,PQC,SYD,2026-06-15 04:13,2026-06-15 15:13,180,Scheduled,Airbus A350-1000
JJ324,Global Connect,DAD,SYD,2026-06-15 04:13,2026-06-15 05:48,180,Gate Closed,Boeing 737 MAX
JJ629,Pacific Way,NRT,CXR,2026-06-15 05:13,2026-06-15 12:02,180,Scheduled,Airbus A321 Neo
JJ665,Sky High,PQC,SGN,2026-06-15 06:13,2026-06-15 15:33,180,Boarding,Airbus A350-1000
JJ208,Sky High,ICN,SGN,2026-06-15 06:13,2026-06-15 12:12,180,Completed,Boeing 787-9
JJ576,Pacific Way,BKK,DAD,2026-06-15 06:13,2026-06-15 16:37,180,Completed,Airbus A350-1000
